e_id,animal,drug,method,concentration,concentration_unit,dose_low,dose_high,dose_unit,notes
1,Equine,Acepromazine,IV:IM,10,mg/ml,0.020,0.080,mg/kg,
2,Equine,Detomidine,IV:IM,10,mg/ml,0.005,0.020,mg/kg,
3,Equine,Detomidine,Sublingual,10,mg/ml,,0.040,mg/kg,
4,Equine,Romifidine,IV,10,mg/ml,0.025,0.120,mg/kg,
5,Equine,Romifidine,IM,10,mg/ml,0.160,0.350,mg/kg,
6,Equine,Xylazine,IV:IM,100,mg/ml,0.200,1.0,mg/kg,dilute with local anesthetic
7,Equine,Xylazine,Epidural,100,mg/ml,0.170,0.220,mg/kg,dilute with local anesthetic
8,Equine,Diazepam,IV,5,mg/ml,0.050,0.100,mg/kg,Often causes excitement in adult horses if used alone. Can be used in neonatal foals..
9,Equine,Midazolam,IV:IM,5,mg/ml,0.050,0.100,mg/kg,"Not used for sedation of adult horses. Effective for sedation of neonatal foals, especially if combined with an opioid."
10,Equine,Butorphanol,IV:IM,10,mg/ml,0.010,0.030,mg/kg,
11,Equine,Hydromorphone,IV:IM,20,mg/ml,0.020,0.040,mg/kg,
12,Equine,Meperidine,IV:IM,,,1,2,mg/kg,IV admin may cause histamine release and hypotension
13,Equine,Morphine,IV:IM,50,mg/ml,0.100,0.200,mg/kg,Give slowly to avoid risk of histamine release
14,Equine,Ketamine,IV,100,mg/ml,,2.2,mg/kg,Induction agent. Sufficient alpha-2 sedation must be obtained before induction. Can be given as a CRI for pain at 1-2 mg/kg/hr.
15,Equine,Guaifenesin,IV,,varies,50,100,mg/kg,Induction agent to be given with Ketamine.
16,Equine,Tiletamine-Zolazepam,IV,100,mg/ml,1,2,mg/kg,Induction agent. Sufficient alpha-2 sedation required prior to administration
17,Equine,Hypertonic Saline (7.2%),,,,2,5,ml/kg,"should not be administered more rapidly than 1ml/kg/min, do not repeat dose"
18,Equine,Atropine,IV,,varies,0.020,0.040,mg/kg,Emergency dose
19,Equine,Butorphanol,IV:IM,10,mg/ml,0.020,0.050,mg/kg,
