list,combination,drug,method
i_1,c_1,d_1,m_1
i_1,c_1,d_1,m_4
i_1,c_1,d_1,m_2
i_117,c_10,d_12,m_2
i_299,c_101,d_35,m_1
i_299,c_101,d_35,m_2
i_14,c_102,d_1,m_1
i_14,c_102,d_1,m_2
i_26,c_103,d_3,m_2
i_27,c_103,d_3,m_2
i_36,c_104,d_5,m_1
i_59,c_105,d_6,m_1
i_59,c_105,d_6,m_4
i_59,c_105,d_6,m_2
i_71,c_105,d_6,m_1
i_71,c_105,d_6,m_2
i_76,c_106,d_6,m_2
i_77,c_107,d_6,m_2
i_79,c_108,d_6,m_2
i_79,c_108,d_18,m_2
i_79,c_108,d_35,m_2
i_80,c_109,d_7,m_1
i_80,c_109,d_7,m_2
i_82,c_109,d_7,m_2
i_125,c_11,d_14,m_2
i_85,c_110,d_7,m_2
i_100,c_111,d_9,m_2
i_102,c_112,d_9,m_2
i_102,c_112,d_18,m_2
i_107,c_113,d_10,m_2
i_108,c_113,d_10,m_2
i_119,c_114,d_12,m_2
i_127,c_115,d_14,m_2
i_139,c_116,d_17,m_2
i_148,c_117,d_15,m_2
i_149,c_117,d_15,m_2
i_148,c_117,d_18,m_2
i_154,c_118,d_18,m_2
i_156,c_118,d_18,m_2
i_154,c_118,d_35,m_2
i_155,c_118,d_35,m_2
i_156,c_118,d_35,m_2
i_157,c_118,d_35,m_2
i_163,c_119,d_6,m_1
i_163,c_119,d_18,m_1
i_163,c_119,d_19,m_1
i_137,c_12,d_17,m_2
i_177,c_120,d_22,m_1
i_177,c_120,d_22,m_2
i_179,c_121,d_22,m_2
i_186,c_122,d_23,m_1
i_186,c_122,d_23,m_2
i_188,c_122,d_23,m_1
i_188,c_122,d_23,m_2
i_200,c_123,d_25,m_1
i_200,c_123,d_25,m_2
i_209,c_124,d_18,m_2
i_209,c_124,d_25,m_2
i_216,c_125,d_26,m_1
i_227,c_126,d_27,m_2
i_232,c_127,d_29,m_2
i_234,c_128,d_30,m_2
i_235,c_128,d_30,m_2
i_240,c_129,d_31,m_1
i_240,c_129,d_31,m_2
i_150,c_13,d_18,m_2
i_150,c_13,d_35,m_1
i_151,c_13,d_35,m_1
i_249,c_130,d_32,m_2
i_250,c_130,d_32,m_2
i_259,c_131,d_33,m_2
i_260,c_131,d_33,m_2
i_261,c_131,d_33,m_2
i_262,c_131,d_33,m_2
i_281,c_132,d_35,m_2
i_282,c_132,d_35,m_2
i_283,c_132,d_35,m_1
i_284,c_132,d_35,m_1
i_297,c_133,d_35,m_2
i_298,c_133,d_35,m_2
i_28,c_135,d_4,m_1
i_29,c_135,d_4,m_1
i_37,c_136,d_5,m_1
i_37,c_136,d_5,m_4
i_37,c_136,d_5,m_2
i_40,c_136,d_5,m_1
i_42,c_137,d_6,m_1
i_42,c_137,d_18,m_1
i_42,c_137,d_35,m_1
i_43,c_137,d_35,m_1
i_62,c_138,d_6,m_1
i_62,c_138,d_6,m_4
i_62,c_138,d_6,m_2
i_65,c_138,d_6,m_1
i_65,c_138,d_6,m_4
i_65,c_138,d_6,m_2
i_68,c_138,d_6,m_1
i_109,c_139,d_10,m_2
i_110,c_139,d_10,m_2
i_152,c_14,d_18,m_2
i_152,c_14,d_35,m_2
i_153,c_14,d_35,m_2
i_111,c_140,d_10,m_2
i_114,c_141,d_11,m_1
i_115,c_141,d_11,m_1
i_115,c_141,d_11,m_2
i_120,c_142,d_12,m_2
i_121,c_143,d_12,m_2
i_128,c_144,d_14,m_2
i_140,c_145,d_17,m_2
i_141,c_146,d_17,m_2
i_158,c_147,d_18,m_2
i_158,c_147,d_35,m_2
